                 STARTED     PID    PPID USER     CMD
Tue Jun  3 18:48:49 2025    3030       1 root     /usr/bin/suricata -D -c /etc/suricata/suricata.yaml --unix-socket
Tue Jun  3 18:48:49 2025    3059    2983 postgres postgres: 17/main: checkpointer 
Tue Jun  3 18:48:49 2025    3060    2983 postgres postgres: 17/main: background writer 
Tue Jun  3 18:48:50 2025    3177    2911 aiegoo   /usr/bin/pipewire
Tue Jun  3 18:48:50 2025    3178    2911 aiegoo   /usr/bin/pipewire -c filter-chain.conf
Tue Jun  3 18:48:50 2025    3179    2911 aiegoo   /usr/bin/python3 /usr/bin/powerline-daemon --foreground
Tue Jun  3 18:48:50 2025    3182    2911 aiegoo   /usr/bin/wireplumber
Tue Jun  3 18:48:50 2025    3183    2635 aiegoo   (sd-pam)
Tue Jun  3 18:48:50 2025    3184    2911 aiegoo   /usr/bin/pipewire-pulse
Tue Jun  3 18:48:50 2025    3185    2911 aiegoo   /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
Tue Jun  3 18:48:50 2025    3213    2911 aiegoo   /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
Tue Jun  3 18:48:50 2025    3251    2911 aiegoo   /usr/libexec/xdg-document-portal
Tue Jun  3 18:48:50 2025    3280    2911 aiegoo   /usr/libexec/xdg-permission-store
Tue Jun  3 18:48:50 2025    3305    3251 root     fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
Tue Jun  3 18:48:50 2025    3345       2 root     [krfcommd]
Tue Jun  3 18:48:50 2025    3350    3003 aiegoo   /usr/libexec/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
Tue Jun  3 18:48:50 2025    3363    3350 aiegoo   /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
Tue Jun  3 18:48:51 2025    3412    2983 postgres postgres: 17/main: walwriter 
Tue Jun  3 18:48:51 2025    3413    2983 postgres postgres: 17/main: autovacuum launcher 
Tue Jun  3 18:48:51 2025    3415    2983 postgres postgres: 17/main: logical replication launcher 
Tue Jun  3 18:48:51 2025    3497    2669 root     cupsd -f -s /var/snap/cups/common/etc/cups/cups-files.conf -c /var/snap/cups/common/etc/cups/cupsd.conf
Tue Jun  3 18:48:51 2025    3498    2669 root     cups-proxyd /var/snap/cups/common/run/cups.sock /run/cups/cups.sock -l --logdir /var/snap/cups/1100/var/log
Tue Jun  3 18:48:51 2025    3706    2668 root     /bin/sh /snap/cups/1100/scripts/run-cups-browsed
